sentence_id,token,label,split
0,This,O,train
0,study,O,train
0,also,O,train
0,characterizes,O,train
0,epitopes,O,train
0,recognized,O,train
0,by,O,train
0,antibodies,O,train
0,against,O,train
0,divergent,O,train
0,HNV,B-DISEASE,train
0,RBPs.,O,train
3,Virology,O,train
3,Like,O,train
3,other,O,train
3,"henipaviruses,",B-DISEASE,train
3,the,O,train
3,Nipah,B-DISEASE,train
3,virus,I-DISEASE,train
3,genome,O,train
3,is,O,train
3,a,O,train
3,single,O,train
3,(non-segmented),O,train
3,"negative-sense,",O,train
3,single-stranded,O,train
3,RNA,O,train
3,of,O,train
3,over,O,train
3,18,O,train
3,"kb,",O,train
3,which,O,train
3,is,O,train
3,substantially,O,train
3,longer,O,train
3,than,O,train
3,that,O,train
3,of,O,train
3,other,O,train
3,paramyxoviruses.,O,train
5,b,O,train
5,Objective:,O,train
5,/b,O,train
5,The,O,train
5,Nipah,B-DISEASE,train
5,virus,I-DISEASE,train
5,poses,O,train
5,significant,O,train
5,health,O,train
5,"risks,",O,train
5,particularly,O,train
5,in,O,train
5,regions,O,train
5,like,O,train
5,"Kerala,",B-LOCATION,train
5,"India,",B-LOCATION,train
5,where,O,train
5,outbreaks,O,train
5,have,O,train
5,occurred.,O,train
6,Nipah,B-DISEASE,train
6,virus,I-DISEASE,train
6,therapeutics,O,train
6,development,O,train
6,is,O,train
6,not,O,train
6,motivated,O,train
6,by,O,train
6,commercial,O,train
6,interest.,O,train
19,During,O,train
19,the,O,train
19,1999,O,train
19,outbreak,O,train
19,of,O,train
19,Nipah,B-DISEASE,train
19,"virus,",I-DISEASE,train
19,which,O,train
19,occurred,O,train
19,among,O,train
19,pig,O,train
19,"farmers,",O,train
19,the,O,train
19,majority,O,train
19,of,O,train
19,human,O,train
19,infections,O,train
19,stemmed,O,train
19,from,O,train
19,direct,O,train
19,contact,O,train
19,with,O,train
19,sick,O,train
19,pigs,O,train
19,and,O,train
19,the,O,train
19,unprotected,O,train
19,handling,O,train
19,of,O,train
19,secretions,O,train
19,from,O,train
19,the,O,train
19,pigs.,O,train
21,Nipah,B-DISEASE,train
21,virus,I-DISEASE,train
21,(NiV),B-DISEASE,train
21,is,O,train
21,a,O,train
21,zoonotic,O,train
21,pathogen,O,train
21,with,O,train
21,the,O,train
