id,text
1,Virus nipah (NiV) adalah virus zoonosis yang berarti dapat menular dari hewan ke manusia.
2,Pertama kali diidentifikasi pada tahun 1998 di Malaysia saat terjadi wabah di kalangan peternak babi.
3,Menurut data dari World Health Organization (WHO), infeksi virus nipah dapat menyebabkan penyakit yang parah pada manusia, mulai dari infeksi pernapasan hingga ensefalitis (radang otak) yang mematikan.
4,People with infection can develop a fever, and symptoms involving the brain (such as headache or confusion), and/or the lungs (such as difficulty breathing or cough).
5,Fruit bats of the Pteropodidae family are the natural host of Nipah virus.
6,Nipah virus was first identified in 1998 during an outbreak among pig farmers in Malaysia.
7,In 1999, an outbreak was reported in Singapore following the importation of sick pigs from Malaysia.
8,Fruit bats from the Pteropodidae family are considered the natural host of Nipah virus and are present in different parts of Asia and in Australia.
9,Infection with Nipah virus does not appear to cause disease in fruit bats.
10,The incubation period – that is the time from infection to the onset of symptoms – ranges from 3 to 14 days.
11,The main diagnostic test is real time polymerase chain reaction (RT-PCR) of respiratory samples, blood or cerebrospinal fluid (a spinal tap)
12,While there are no specific treatments for Nipah, early diagnosis will promote early supportive care.
13,Dia mengatakan, para peneliti ini menegaskan dengan ditemukannya reaktor Nipah pada kelelawar Pteropus vampyrus tetapi tidak pada babi di Indonesia, tidak berarti bahwa ternak babi aman dari infeksi Nipah.
14,Tingkat kematian akibat infeksi virus Nipah termasuk tinggi, sekitar 40 – 75%.
15,Di Indonesia sendiri, keberadaan virus Nipah sudah terdeteksi pada kelelawar pemakan buah yang hidup di Sumatera Utara, Jawa, dan Kalimantan Barat
16,Hewan yang menjadi reservoir alami virus ini banyak ditemukan di wilayah pesisir serta beberapa pulau di Samudra Hindia, termasuk Indonesia.
17,Pemberian obat antikejang apabila pasien mengalami kejang.
18,Gunakan alat pelindung diri saat membersihkan kotoran atau urine hewan.
19,etika sebuah kasus ditemukan di suatu negara, negara lain dapat berisiko karena mobilitas penduduk yang tinggi dan masa inkubasi yang panjang yang dapat memakan waktu satu bulan.
20,Nipah dapat menyebabkan demam dan peradangan otak.
21,Nipah virus outbreaks have been reported in South and Southeast Asia.
22,Early reporting of symptoms can save lives.
23,Health authorities coordinate response efforts during outbreaks.
24,Isolation of patients helps prevent further transmission.
25,Climate change may influence the distribution of reservoir hosts.
26,Laboratory workers must handle samples with caution.
27,Muscle pain may accompany initial symptoms.
28,Brain inflammation can progress rapidly without treatment.
29,Public health surveillance is essential for early detection.
30,Community cooperation is vital for effective control.
31,Kasus virus Nipah juga pernah dilaporkan di Singapura.
32,Di Bangladesh, penularan virus Nipah sering dikaitkan dengan konsumsi nira kurma.
33,Nira kurma dapat terkontaminasi air liur atau urine kelelawar.
34,Organisasi Kesehatan Dunia memantau perkembangan wabah virus Nipah secara global.
35,WHO mengategorikan virus Nipah sebagai patogen prioritas.
36,Masa inkubasi virus Nipah berkisar antara beberapa hari hingga dua minggu.
37,Gejala pernapasan dapat memburuk dengan cepat pada kasus yang parah.
38,Pasien dengan ensefalitis membutuhkan perawatan intensif di rumah sakit.
39,Belum tersedia obat antivirus khusus untuk infeksi virus Nipah.
40,Penanganan pasien virus Nipah berfokus pada perawatan suportif.
41,Diagnosis virus Nipah dilakukan melalui pemeriksaan laboratorium.
42,Metode RT-PCR digunakan untuk mendeteksi keberadaan virus Nipah.
43,Sampel pemeriksaan dapat diambil dari darah atau cairan pernapasan.
44,Tenaga kesehatan memiliki risiko tinggi saat menangani pasien terinfeksi.
45,Penggunaan alat pelindung diri sangat penting dalam mencegah penularan.
46,Isolasi pasien dilakukan untuk membatasi penyebaran virus.
47,Pelacakan kontak dilakukan untuk memantau individu yang terpapar.
48,Surveilans kesehatan membantu mendeteksi wabah sejak dini.
49,Peningkatan kesadaran masyarakat dapat mengurangi risiko penularan.
50,Edukasi publik menjadi bagian penting dalam pengendalian wabah.
51,Mobilitas penduduk dapat mempengaruhi penyebaran penyakit menular.
52,Perubahan lingkungan dapat meningkatkan interaksi manusia dengan hewan liar.
53,Deforestasi berpotensi meningkatkan risiko penularan penyakit zoonosis.
54,Penelitian terus dilakukan untuk mengembangkan vaksin virus Nipah.
55,Kerja sama internasional diperlukan dalam menghadapi wabah global.
56,Respons cepat sangat penting untuk menekan jumlah kasus.
57,Kesiapsiagaan sistem kesehatan menentukan keberhasilan pengendalian wabah.
58,Pelaporan kasus secara transparan membantu koordinasi penanganan.
59,Keterlibatan masyarakat lokal mendukung upaya pencegahan.
60,Upaya pencegahan berfokus pada pengurangan paparan terhadap reservoir alami.
61,Pemerintah daerah berperan dalam implementasi kebijakan kesehatan.
